Ir. szám	Név	Megyekód	Járás	KSH kód	Jogállás	Terület	Népesség	Lakások
1011	Budapest 01. kerület	BU		09566	2	341	24094	17475
1021	Budapest 02. kerület	BU		03179	2	3634	85018	49753
1031	Budapest 03. kerület	BU		18069	2	3970	124256	65418
1041	Budapest 04. kerület	BU		05467	2	1882	94648	50661
1051	Budapest 05. kerület	BU		13392	2	259	23494	20369
1061	Budapest 06. kerület	BU		16586	2	238	34834	29251
1071	Budapest 07. kerület	BU		29744	2	209	49323	38185
1081	Budapest 08. kerület	BU		25405	2	685	69917	47903
1091	Budapest 09. kerület	BU		29586	2	1253	58205	44637
1101	Budapest 10. kerület	BU		10700	2	3249	73389	40960
1111	Budapest 11. kerület	BU		14216	2	3348	144491	84044
1121	Budapest 12. kerület	BU		24697	2	2667	55395	35998
1131	Budapest 13. kerület	BU		24299	2	1344	117792	82431
1141	Budapest 14. kerület	BU		16337	2	1813	117155	74762
1151	Budapest 15. kerület	BU		11314	2	2694	75590	38554
1161	Budapest 16. kerület	BU		08208	2	3351	72154	33269
1171	Budapest 17. kerület	BU		02112	2	5482	84821	34389
1181	Budapest 18. kerület	BU		29285	2	3860	98903	45676
1191	Budapest 19. kerület	BU		04011	2	938	56561	29015
1201	Budapest 20. kerület	BU		06026	2	1219	61766	32575
1211	Budapest 21. kerület	BU		13189	2	2575	70337	33885
1221	Budapest 22. kerület	BU		10214	2	3425	56561	24715
1237	Budapest 23. kerület	BU		34139	2	4077	22300	9178
2000	Szentendre	PE	Szentendrei	15440	4	4382	28494	11585
2009	Pilisszentlászló	PE	Szentendrei	08457	6	1775	1285	450
2011	Budakalász	PE	Szentendrei	23463	4	1517	12013	4532
2013	Pomáz	PE	Szentendrei	06372	4	4903	18419	7214
2014	Csobánka	PE	Szentendrei	06822	6	2276	3609	1252
2015	Szigetmonostor	PE	Szentendrei	26213	6	2351	2999	1486
2016	Leányfalu	PE	Szentendrei	30809	5	1537	4003	1754
2017	Pócsmegyer	PE	Szentendrei	04905	6	1308	2766	1374
2021	Tahitótfalu	PE	Szentendrei	31963	6	3917	6224	2410
2023	Dunabogdány	PE	Szentendrei	25362	6	2550	3315	1439
2024	Kisoroszi	PE	Szentendrei	29850	6	1094	908	483
2025	Visegrád	PE	Szentendrei	28413	4	3327	1789	772
2027	Dömös	KE	Esztergomi	06594	6	2401	1147	478
2028	Pilismarót	KE	Esztergomi	14669	6	4457	2156	841
2030	Érd	PE	Érdi	30988	3	6331	70800	26178
2038	Sóskút	PE	Érdi	06840	6	2489	3597	1456
2039	Pusztazámor	PE	Érdi	15583	6	927	1265	472
2040	Budaörs	PE	Budakeszi	23278	4	2359	29397	11306
2045	Törökbálint	PE	Érdi	06859	4	2941	14741	5244
2049	Diósd	PE	Érdi	24013	4	575	11484	4268
2051	Biatorbágy	PE	Budakeszi	08891	4	4412	15151	5722
2053	Herceghalom	PE	Budakeszi	33552	6	734	2790	977
2060	Bicske	FE	Bicskei	10481	4	7708	11266	4409
2063	Óbarok	FE	Bicskei	34306	6	1926	867	374
2064	Csabdi	FE	Bicskei	30544	6	1702	1327	460
